PC1,PC2,Cluster
0.8226070798770869,-0.6285566486737697,1
-0.339245902512209,-0.48141409502247423,0
0.14387368827887628,-0.8728166444137408,0
0.470524671752154,-1.0617910139164888,1
-0.42522406521851597,-1.002600607517258,0
-1.3669820160764972,-0.8414201766269569,0
-2.70869831682676,-0.7531268469942298,0
-2.8146779801232107,-0.7924316340866334,0
-3.4673783383852803,-0.6754105931788319,0
-3.53015766563114,-1.2702267028515861,0
-4.515222529698395,-0.5279738195956262,0
-4.638745831610857,-0.4049816540846713,0
-4.076410483316658,-0.5983089803068186,0
-2.637505390296011,-0.9271900634357497,0
-0.3689170634540719,-1.1231736966571992,0
-0.20760970940498996,-0.8900632872098656,0
-1.2811410459115609,-0.907553435689985,0
-1.9964436755028458,-0.9042979903681028,0
-1.7427718141877133,-0.988071775898421,0
-0.7699494985805558,-1.1849931636648903,0
0.714166384952337,-1.2663108976828874,1
-0.005492347188743761,-1.2442089685322824,0
-0.08763513781296312,-1.1980128118733127,0
0.890269298501004,-1.209946473357639,1
3.282835112706738,-1.0071352091681751,1
5.1729164870817295,-1.1919109661108076,1
4.324378428103674,-1.2269836071112712,1
1.2436040723140953,-1.331995979817809,1
-2.1013347190789444,-1.0902304478536775,0
-3.3934867462744243,-0.7988292039688052,0
-2.0681472046127536,-1.2770186309816967,0
-1.9304605604340674,-1.4379053469265939,0
-2.8981126169596205,-1.3278558744874962,0
-3.79957566991259,-1.679350685725729,0
-5.200101351502253,-0.9789228225343565,0
-5.047507861215382,-1.0433766785244134,0
-4.086728404325963,-1.194948465610912,0
-2.3325729428096746,-1.5008978360441292,0
2.3571898605306685,-1.5974660521074675,1
2.8412332243761056,-0.8152998304534002,1
1.013413191172085,-0.8162670501324035,1
0.5660932624784211,-1.0111523200823263,1
-0.2925645793893084,-0.6215134174079471,0
0.06468519676499865,-0.519766151146932,0
0.6101435425125068,-0.47972073081615924,1
1.1289250800723312,-0.5220500118911717,1
0.725601462339961,-0.5255493252001908,1
0.31859333024742265,-0.4059317745078223,0
2.7057041935875583,-0.6534388881160953,1
2.5898189142138075,-0.7469733965716711,1
6.012293780074291,-0.7828723802016948,1
3.4170937199560307,-1.0270720302274505,1
2.1316014620573274,-1.2308243680490898,1
3.846471363180754,-1.0800484565536954,1
-0.07002929285587274,-1.313362023549413,0
-0.9895914292588356,-1.1995025750849777,0
-1.739157225408992,-1.1317813680108233,0
-1.4744770151499054,-1.5504662617556508,0
-1.576702427001741,-1.2925914359955553,0
-3.195984719082285,-1.032540862703143,0
-2.934614186064868,-1.1405575308668274,0
-1.8914375719246925,-1.352628853015565,0
